60.52185175133282, 10.37894629280423
60.39226440901654, 10.36479549927305
60.24933508194241, 10.38355817078777
57.71147234168018, 12.4821434721301
57.72734736393792, 12.46013721565219
57.70534144086367, 12.46832206443076
57.72394617585154, 12.45030198231525
57.71112662958431, 12.45313871829781
57.71010657530893, 12.44466700463637
57.72837847480741, 12.45827484096246
57.72338351658083, 12.44970373435076
57.71818977319496, 12.44637300962649
57.72302672098004, 12.48701183104775
57.7077983, 12.4554035
57.71389551929904, 12.4845683578329
57.72703332883236, 12.47943258803006
57.70975369641335, 12.4800781344753
57.7275689294457, 12.47146341844855
57.7046271, 12.4717097
"56.87623373739294, 16.71276079856244"
"56.87587277344788, 16.67146742687278"
"56.88112451227543, 16.74140979512911"
"56.87599741101377, 16.65626210648574"
"56.88038571565495, 16.67209892689072"
"56.88003694421997, 16.6744676484945"
"56.86347006970639, 16.72634332049564"
"56.85684866234244, 16.64763414369926"
"56.8801492274329, 16.66043151082444"
"56.87398833961252, 16.65977513402108"
"56.87755463270266, 16.72230937063647"
"56.88328049055817, 16.67570914003424"
"56.88219842556484, 16.64638917412515"
"56.85819175558744, 16.70647335658085"
"56.88311142310593, 16.69227527669439"
"56.87712692094434, 16.72689481399017"
"56.87632502046819, 16.66748589520531"
"56.85932303677246, 16.65004633861821"
"56.8803356854369, 16.67815091840762"
"56.87551341372779, 16.71990036960325"
"56.88091352299964, 16.66070901876294"
"56.87324069113829, 16.67537747653831"
"56.87859952675152, 16.71564573110223"
"56.87896413395594, 16.70038424862901"
"56.8734912, 16.6345263"
"56.88126803349785, 16.72280257158774"
"56.88841790000001, 16.7211301"
"56.8752145813079, 16.70972901971992"
"56.88473482327701, 16.75082095909467"
"56.87904274417702, 16.71757806931697"
"56.87438782581103, 16.65213244501003"
"56.87848357492084, 16.68357871494024"
